"Entelect Website Last Round Feedback"
;;
.;;
3.121 On partnership pages, we have reused the primary featured project template which works the same way as intended on Industries. However, we need a wa...;**someone** created a new Feedback (#837535) on **http://entelect.cstm.co.za/services/amazon-web-services/**>On partnership pages, we have reused the primary featured project template which works the same way as intended on Industries. However, we need a way to simply tag some of the projects as 'AWS' / 'Azure' / 'Backbase' in the same way we do for services/industries, and then have this control pull them through if they are flagged for featured. Whichever is the simplest way to achieve this.**Session details:**- Feedback ID: 837535- Rating: N/A- Browser: Chrome 88.0.4324.96 (Windows)- Window Size: 2560 x 1297- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/8375353CSuyj0T/;
3.123 Clean up CMS;;
3.124 Email to download plugin;;
4.5 Thanks for updating the arrow to hyperlink and the hand on hover. Logo's are looking really big. How do we ensure a more consistent logo size? We can...;**someone** created a new Feedback (#840092) on **http://entelect.cstm.co.za/?_sfm_home_page_category=featured**>Thanks for updating the arrow to hyperlink and the hand on hover. Logo's are looking really big. How do we ensure a more consistent logo size? We can work together on this just let me know what we can do on our side.**Session details:**- Feedback ID: 840092- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 2560 x 1329- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840092hZ7WAEks/;
4.6 check out how Mckinsey does there text and arrow animation https://www.mckinsey.com/# The arrow has a little more forward movemet and the text goes bo...;**someone** created a new Feedback (#840110) on **http://entelect.cstm.co.za/?_sfm_home_page_category=featured**>check out how Mckinsey does there text and arrow animation https://www.mckinsey.com/#The arrow has a little more forward movemet and the text goes bolder. We can do Regular and green**Session details:**- Feedback ID: 840110- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 2560 x 1329- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840110YSBoiHBg/;
4.9 Too much padding above and below the heading is making the cards too big.;**someone** created a new Feedback (#840134) on **http://entelect.cstm.co.za/?_sfm_home_page_category=featured**>Too much padding above and below the heading is making the cards too big.**Session details:**- Feedback ID: 840134- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 1440 x 764- Resolution Size: 1440 x 900----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840134DRdEAiil/;
4.7 These track records are tagged as banking but some of them are not banking projects. Logos missing?;**someone** created a new Feedback (#840120) on **http://entelect.cstm.co.za/?_sfm_home_page_category=banking**>These track records are tagged as banking but some of them are not banking projects. Logos missing?**Session details:**- Feedback ID: 840120- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 2560 x 1329- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840120fOzdkXph/;
4.11 I animated what I'd like to see. Green text, arrow move and darker shadows. https://xd.adobe.com/view/819c658d-a9dc-4f30-835c-19477936ae62-d4cf/?fulls...;**someone** created a new Feedback (#840169) on **http://entelect.cstm.co.za/?_sfm_home_page_category=featured**>I animated what I'd like to see. Green text, arrow move and darker shadows.https://xd.adobe.com/view/819c658d-a9dc-4f30-835c-19477936ae62-d4cf/?fullscreen**Session details:**- Feedback ID: 840169- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 2560 x 1329- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840169nh7F3Kqa/;
4.17 These are starting to come through. Cool! The cards are really big compared to the design, I just uploaded this image in 2 two different crop size th...;**someone** created a new Feedback (#840260) on **http://entelect.cstm.co.za/industries/agriculture/**>These are starting to come through. Cool! The cards are really big compared to the design, I just uploaded this image in 2 two different crop size thinking that the card will respond to the size of the image but t seems to be set to this square crop? How can we get it to be slimmer and closer to the design?**Session details:**- Feedback ID: 840260- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 1440 x 764- Resolution Size: 1440 x 900----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840260KPU9AvW5/;
4.18 Let's remove the hover and place this whole thing on a long card. Basically what it looks like on hover. Then all cards are consistent;**someone** created a new Feedback (#840262) on **http://entelect.cstm.co.za/industries/agriculture/**>Let's remove the hover and place this whole thing on a long card. Basically what it looks like on hover. Then all cards are consistent**Session details:**- Feedback ID: 840262- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 1440 x 764- Resolution Size: 1440 x 900----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/840262uUVWyWG2/;
4.20 Space between logo and heading too much.;**someone** created a new Feedback (#840269) on **http://entelect.cstm.co.za/industries/agriculture/**>Space between logo and heading too much.**Session details:**- Feedback ID: 840269- Rating: N/A- Browser: Chrome 88.0.4324.96 (Mac)- Window Size: 2560 x 1329- Resolution Size: 2560 x 1440----**View feedback details in Userback:** https://app.userback.io/viewer/10300/20645/8402695X7NDaGY/;
